codigoUnico;correo;estado;rol
201820773;paul.roman02@epn.edu.ec;Activo;Admin
201820775;gussi.killoran@epn.edu.ec;Activo;Usuario
201820776;norina.crossley@epn.edu.ec;Activo;Usuario
201820777;agretha.beckingham@epn.edu.ec;Activo;Usuario
201820778;antonina.jakaway@epn.edu.ec;Activo;Usuario
201820779;sharl.fyfield@epn.edu.ec;Activo;Usuario
201820780;bartholomew.eykelhof@epn.edu.ec;Activo;Usuario
201820781;adams.pahlsson@epn.edu.ec;Inactivo;Usuario
201820782;ortensia.brandino@epn.edu.ec;Inactivo;Usuario
201820783;delbert.drinkeld@epn.edu.ec;Inactivo;Usuario
201820784;brook.barbrick@epn.edu.ec;Activo;Usuario
202077021;ortensia.brandino@epn.edu.ec;Inactivo;Usuario
202077022;delbert.drinkeld@epn.edu.ec;Inactivo;Usuario
202077023;brook.barbrick@epn.edu.ec;Activo;Usuario

